feature,max_abs_correlation
K23981,0.9982602438906081
K17828,0.9666844771339247
K14155,0.9782626357857418
K16007,0.9796691049063636
K24559,0.9815315031549435
K23747,0.9671584650690779
K16401,0.9732072461149397
K01861,0.9610893626540342
K24528,0.9632387856804063
K16399,0.9689748808260619
K02115,0.9532577060752266
K24555,0.972171346814687
K16450,0.9600679548380012
K16402,0.9684555550538839
K23745,0.9592588118605699
K23367,0.9721612157254987
K16412,0.9684905714095488
K00147,0.9526683461303799
K17686,0.9871036250690343
K03555,0.9502407324809381
K16030,0.9874788010770102
K16409,0.9724097573690386
K14246,0.9708335623383718
K16418,0.9637907859160514
K16410,0.9636495496588103
K15558,0.9687182823307979
K23748,0.9505999672124471
K23365,0.9607028451620493
K15238,0.9698375390075116
K16000,0.9774179500356301
K24556,0.9520312885518687
K19960,0.9822413146394513
K21837,0.954403905995725
K13070,0.9522413819946198
K02122,0.9504594976921925
K03650,0.9551885020732949
K21326,0.9565815308008664
K17319,0.9577404753351155
K19762,0.9663359636234168
K15237,0.9584375418975869
K02111,0.9608855080902831
K01912,0.9798314357136708
K16405,0.9575384504924765
K02033,0.9652431431175085
K22581,0.9750766739898896
K21179,0.9788864031339416
K03046,0.9506432228921445
K16406,0.9601449053561159
K26217,0.9849783776105463
K00175,0.9541031232377049
K16413,0.9565281735685816
K01924,0.9511240524570354
K23646,0.9892537368855466
K21593,0.9654531884240826
K20548,0.9837490254755098
K15390,0.9676821877692421
K05833,0.9516209549460205
K12907,0.9802961437552123
K19639,0.9724693744321967
K19854,0.9813263143480914
K22607,0.9575254675403947
K21573,0.9690971388905367
K02029,0.9529223431046893
K14746,0.9747325270295124
K16108,0.9502428908016911
K02031,0.9647735699118573
K03563,0.9515114148105522
K16419,0.9630714131258123
K15887,0.9902617293081406
K19958,0.9646092371332744
K26078,0.9789875981451361
